,Reviews,Date,Rating
0,"

  Recieved todayWorth for 2kBut I had one plus wireless bullets 2This one comes no where near that in build quality and premium feeling and sound QualityBut again this product is 4k less.Very light weight to wearBass is good and better that bullets 2.If you have not used bullets 2 then you will be very much satisfied with wireless Z.But anyways I'll use this whole day and if I don't get satisfied then I'm going again for bullets wireless 2 onlyEdit:- after 2 days of extensive use and comparing z with wireless 2 I've come to conclusion that ""Z"" is a steal deal. I'm very much satisfied with it. Nothing is in the market that comes close to ""Z"" in under 2k.You can definitely buy this with your eyes closed.

",11 May 2020,5
0,"

  Product price is low as we expected

",30 April 2020,5
0,"

  It's very nice neckband.

",2 May 2020,5
0,"

  Product is just amazing!!With the reasonable price and quality 🖤Unbox - really great feel in Unboxing it!Products included -  C Type red cable and extra pair of earplugs and manualsExperience - One plus products are always amazing, and this earphone tho I really loved it..The quality and the design is really excellent than the wireless 2 earphones!It comes with the magnetic attach, where song will be paused when u attach both ear piece, and I had a confusion in Turing ON the earphones, You need to separate the earplugs and automatically it will be ON and Pair instantly..Sound quality - really great experienceAnd bass is not that good!Volume control will different in this , i.e., when you increase or decrease the volume through earphones ,it doesn't impact on your mobile volume control...

",12 May 2020,5
0,"

  Hello everyone....this is just a quick review about this headsetI use a OnePlus 7pro, here is what I felt about the headset pairing is easy and smooth Volume is not so high (if you are using a OnePlus device coz the volume bar is common for both headset and phone increase the volume of headset phone volume increases and vise versa) if you connect to any other device you get seperate volume for the device and the headset. If you are a bass lover bass is not that punchy but has excellent sound quality ( try listening to Hello by Adele, it just blowed my mind) Battery backup is awsome (Note: 10mins charge for 10hrs works only if you are using the 30W warp charger) Low latency works only in fnatic mode (only in OnePlus device) Magnetic control works for any devicesThat's what I think about the headset. ☺️

",12 May 2020,5
0,"

  Excellent product,After using for 2 hrs still it has 100% of chargeSound is good upto 60% of volume after getting noise.Call clarity both sides superb.Bluetooth coverage distance also superb.Quality is nice.But the problem is made in china, its better to made it in INDIA.

",14 May 2020,5
0,"

  1) no need to worry  about charging (rapid charging & heavy endurance too)2) very good rage... penetrates 2, 6 inch walls .. no disturbance  upto 3 bhk or duplex houses3) good enough sound quality for this price range4)low latency  .. works for pubg and additional  low latency with oneplus fntaic mode5) built quality  excellent6) magnets just works like on_off play_pause7) easy switch between  2 devices hardly takes 5 secs to switchAnd connects to device in just 2 sec as u separate the magnets

",12 May 2020,5
0,"

  Amazing initial impressions, received it on 11th May with fully charge.amazing sound quality more than what I was expecting.should test the backup now.Good bass.little queak with equilizer n it sounds even greater.Using it on my OnePlus 7t pro.easy paring and to connect.Worth a buy.in this price segmentUpdate: as on 14th july.after new update on OnePlus devices sounds even greater.now I can it's worth.amazing battery back-up.

",12 May 2020,5
0,"

  Very reasonable price. Waiting for it

",2 May 2020,5
0,"

  • Takes 40mins to charge (On a OnePlus 7 Warp charger)• The battery life of the Neckband is Near 20h (Recorded using a phone timer everytime I used it)• well sounds Great (Background music and vocals) and has a nice base to it too.• Neckband is made up of smooth rubber feels awesome 👍• Both ends of the band (Those bulk edges from where the wire comes from) are made up of metal (I don't know whether it's aluminium or steel or something..but it's good and feels durable• As of recommendation or confusion of buying a Neckband in 2k I prefer these bullets wireless Z won't regret it that's for sure

",17 May 2020,5
